央视频道,#genre#
CCTV2,http://218.8.87.96:4000/rtp/229.58.190.153:5000
CCTV2,http://49.74.226.54:8888/rtp/239.49.8.50:9802
CCTV2,http://115.221.83.81:8888/rtp/233.50.201.119:5140
CCTV2,http://125.118.255.64:8888/rtp/233.50.200.25:5140
CCTV2,http://125.118.255.64:8888/rtp/233.50.201.119:5140
CCTV2,http://27.152.51.174:1025/rtp/239.61.5.61:1025
CCTV2,http://223.240.176.36:8888/rtp/238.1.78.235:7752
CCTV2,http://114.96.142.103:8888/rtp/238.1.78.235:7752
CCTV2,http://59.52.60.3:8008/rtp/239.252.220.183:5140
CCTV2,http://59.52.63.203:8008/rtp/239.252.220.183:5140
CCTV2,http://121.60.91.45:37989/rtp/239.69.1.102:10250
CCTV2,http://171.42.16.230:8888/rtp/239.69.1.102:10250
CCTV2,http://220.173.254.6:6666/rtp/239.81.0.115:4056
CCTV2,http://180.137.67.126:8888/rtp/239.81.0.115:4056
CCTV2,http://180.139.221.187:18888/rtp/239.81.0.115:4056
CCTV2,http://113.111.16.130:8888/rtp/239.77.0.137:5146
CCTV2,http://113.111.16.130:8888/rtp/239.253.43.17:5146
CCTV2,http://119.134.111.153:8888/rtp/239.77.0.137:5146
CCTV2,http://36.101.3.42:554/rtp/239.253.64.195:5140
CCTV2,http://125.86.0.84:8888/rtp/235.254.198.52:1484
CCTV2,http://27.11.52.210:8008/rtp/225.0.4.132:7980
CCTV2,http://27.11.61.254:8008/rtp/225.0.4.132:7980
CCTV2,http://211.158.155.21:8008/rtp/225.0.4.132:7980
CCTV2,http://182.138.221.46:8888/rtp/239.93.1.23:6000
CCTV2,http://171.213.192.249:8088/rtp/239.93.1.23:6000
CCTV2,http://222.209.122.21:4443/rtp/239.93.1.23:6000
CCTV2,http://125.74.189.19:51888/rtp/239.255.30.179:8231
CCTV2,http://42.92.117.213:8888/rtp/239.255.30.179:8231
CCTV2,http://124.224.82.69:8888/rtp/239.121.4.155:8914
CCTV2,http://124.224.82.69:8888/rtp/239.121.4.2:7986
CCTV2,http://124.224.85.18:2000/rtp/239.121.4.155:8914
CCTV2,http://124.224.85.18:2000/rtp/239.121.4.2:7986
CCTV3,http://115.171.216.85:8888/rtp/225.1.8.88:8000
CCTV3,http://111.196.128.46:20000/rtp/239.3.1.172:8001
CCTV3,http://222.129.140.130:8888/rtp/239.3.1.172:8001
CCTV3,http://60.27.20.120:5555/rtp/225.1.1.158:5002
CCTV3,http://223.10.214.230:6006/rtp/239.1.1.9:8009
CCTV3,http://223.10.214.230:6008/rtp/239.1.1.9:8009
CCTV3,http://223.10.214.230:6009/rtp/239.1.1.9:8009
CCTV3,http://60.220.167.21:8085/rtp/226.0.2.208:9576
CCTV3,http://211.90.94.136:8085/rtp/226.0.2.208:9576
CCTV3,http://121.29.169.222:2083/rtp/239.253.92.191:6057
CCTV3,http://121.29.215.186:2083/rtp/239.253.92.191:6057
CCTV3,http://121.57.164.229:515/rtp/239.29.1.133:5000
CCTV3,http://111.127.157.183:51234/rtp/239.29.1.133:5000
CCTV3,http://218.1.178.14:8701/rtp/239.45.1.68:5140
CCTV3,http://218.1.187.102:8888/rtp/239.45.1.68:5140
CCTV3,http://114.95.156.205:4022/rtp/239.45.1.68:5140
CCTV3,http://115.221.83.81:8888/rtp/233.50.201.196:5140
CCTV3,http://125.118.255.64:8888/rtp/233.50.201.196:5140
CCTV3,http://27.152.51.174:1025/rtp/239.61.4.120:1025
CCTV3,http://114.96.142.103:8888/rtp/238.1.78.170:7232
CCTV3,http://59.52.60.3:8008/rtp/239.252.219.252:5140
CCTV3,http://59.52.63.203:8008/rtp/239.252.219.252:5140
CCTV3,http://121.60.91.45:37989/rtp/239.69.1.122:10370
CCTV3,http://171.42.16.230:8888/rtp/239.69.1.122:10370
CCTV3,http://180.137.67.126:8888/rtp/239.81.0.231:4056
CCTV3,http://180.139.221.187:18888/rtp/239.81.0.231:4056
CCTV3,http://113.65.7.94:8888/rtp/239.77.0.175:5146
CCTV3,http://113.111.16.130:8888/rtp/239.77.0.175:5146
CCTV3,http://119.134.111.153:8888/rtp/239.77.0.169:5146
CCTV3,http://36.101.3.42:554/rtp/239.253.64.244:5140
CCTV3,http://125.86.0.84:8888/rtp/235.254.198.53:1488
CCTV3,http://125.82.168.238:8888/rtp/235.254.198.53:1488
CCTV3,http://113.251.228.241:7788/rtp/235.254.198.53:1488
CCTV3,http://27.11.52.210:8008/rtp/225.0.4.142:7980
CCTV3,http://27.11.61.254:8008/rtp/225.0.4.142:7980
